name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Mary Baldwin University,Virginia,VA,Private,4 Year,9410,31085,40495,31085,40495
Marygrove College,Michigan,MI,Private,4 Year,7800,23630,31430,23630,31430
Maryland Institute College of Art,Maryland,MD,Private,4 Year,13280,48630,61910,48630,61910
Marymount California University,California,CA,Private,4 Year,14666,36134,50800,36134,50800
Marymount Manhattan College,New York,NY,Private,4 Year,16832,33778,50610,33778,50610
Marymount University,Virginia,VA,Private,4 Year,13190,31466,44656,31466,44656
Maryville College,Tennessee,TN,Private,4 Year,11424,34880,46304,34880,46304
Maryville University of Saint Louis,Missouri,MO,Private,4 Year,10088,28470,38558,28470,38558
Marywood University,Pennsylvania,PA,Private,4 Year,13900,34910,48810,34910,48810
Massachusetts College of Art and Design,Massachusetts,MA,Public,4 Year,13500,13200,26700,36400,49900
Massachusetts College of Liberal Arts,Massachusetts,MA,Public,4 Year,10980,10734,21714,19679,30659
Massachusetts Institute of Technology,Massachusetts,MA,Private,4 Year,15510,51832,67342,51832,67342
Massachusetts Maritime Academy,Massachusetts,MA,Public,4 Year,12675,9724,22399,26102,38777
Mayville State University,North Dakota,ND,Public,4 Year,7840,6666,14506,9399,17239
McDaniel College,Maryland,MD,Private,4 Year,11430,43260,54690,43260,54690
McKendree University,Illinois,IL,Private,4 Year,9920,30520,40440,30520,40440
McMurry University,Texas,TX,Private,4 Year,8602,27244,35846,27244,35846
McNally Smith College of Music,Minnesota,MN,Private,4 Year,6260,29300,35560,29300,35560
McNeese State University,Louisiana,LA,Public,4 Year,8704,7859,16563,18934,27638
McPherson College,Kansas,KS,Private,4 Year,8788,28951,37739,28951,37739
MCPHS University,Massachusetts,MA,Private,4 Year,16400,32705,49105,32705,49105
Medaille College,New York,NY,Private,4 Year,13500,29500,43000,29500,43000
Memphis College of Art,Tennessee,TN,Private,4 Year,8890,33100,41990,33100,41990
Menlo College,California,CA,Private,4 Year,14225,42800,57025,42800,57025
Mercer University,Georgia,GA,Private,4 Year,11616,36894,48510,36894,48510
Mercy College,New York,NY,Private,4 Year,14400,19042,33442,19042,33442
Mercyhurst University,Pennsylvania,PA,Private,4 Year,12880,38070,50950,38070,50950
Meredith College,North Carolina,NC,Private,4 Year,10930,37176,48106,37176,48106
Merrimack College,Massachusetts,MA,Private,4 Year,15845,41760,57605,41760,57605
Mesivta Torah Vodaath Seminary,New York,NY,Private,4 Year,4500,10000,14500,10000,14500
Messiah College,Pennsylvania,PA,Private,4 Year,10520,35160,45680,35160,45680
Methodist College,Illinois,IL,Private,4 Year,7440,20800,28240,20800,28240
Methodist University,North Carolina,NC,Private,4 Year,12890,33846,46736,33846,46736
Miami University: Oxford,Ohio,OH,Public,4 Year,13860,15378,29238,34895,48755
Michigan State University,Michigan,MI,Public,4 Year,10322,14460,24782,39765,50087
Michigan Technological University,Michigan,MI,Public,4 Year,10756,15646,26402,33726,44482
Mid-America Christian University,Oklahoma,OK,Private,4 Year,8036,18334,26370,18334,26370
Mid-Atlantic Christian University,North Carolina,NC,Private,4 Year,8600,14400,23000,14400,23000
MidAmerica Nazarene University,Kansas,KS,Private,4 Year,8708,30736,39444,30736,39444
Middle Georgia State University,Georgia,GA,Public,4 Year,9080,4608,13688,13568,22648
Middle Tennessee State University,Tennessee,TN,Public,4 Year,9436,9206,18642,28364,37800
Middlebury College,Vermont,VT,Private,4 Year,15530,54450,69980,54450,69980
Midland University,Nebraska,NE,Private,4 Year,8776,32558,41334,32558,41334
Midway University,Kentucky,KY,Private,4 Year,8480,24650,33130,24650,33130
Midwestern State University,Texas,TX,Public,4 Year,8877,9019,17896,10969,19846
Miles College,Alabama,AL,Private,4 Year,7042,11604,18646,11604,18646
Millersville University of Pennsylvania,Pennsylvania,PA,Public,4 Year,13658,12226,25884,21946,35604
Milligan College,Tennessee,TN,Private,4 Year,7100,33700,40800,33700,40800
Millikin University,Illinois,IL,Private,4 Year,11818,35102,46920,35102,46920
Mills College,California,CA,Private,4 Year,13448,30257,43705,30257,43705
Millsaps College,Mississippi,MS,Private,4 Year,13730,39910,53640,39910,53640
Milwaukee Institute of Art & Design,Wisconsin,WI,Private,4 Year,9300,37360,46660,37360,46660
Milwaukee School of Engineering,Wisconsin,WI,Private,4 Year,10389,40749,51138,40749,51138
Minneapolis College of Art and Design,Minnesota,MN,Private,4 Year,5610,39210,44820,39210,44820
Minnesota State University Mankato,Minnesota,MN,Public,4 Year,8719,8184,16903,16235,24954
Minnesota State University Moorhead,Minnesota,MN,Public,4 Year,9280,8574,17854,15983,25263
Minot State University,North Dakota,ND,Public,4 Year,6610,7064,13674,7064,13674
Mirrer Yeshiva Central Institute,New York,NY,Private,4 Year,6172,7260,13432,7260,13432
Misericordia University,Pennsylvania,PA,Private,4 Year,13960,33240,47200,33240,47200
Mississippi College,Mississippi,MS,Private,4 Year,10300,18026,28326,18026,28326
Mississippi State University,Mississippi,MS,Public,4 Year,10090,8760,18850,23360,33450
Mississippi University for Women,Mississippi,MS,Public,4 Year,7424,7040,14464,7040,14464
Mississippi Valley State University,Mississippi,MS,Public,4 Year,8043,6570,14613,6570,14613
Missouri Baptist University,Missouri,MO,Private,4 Year,8720,27124,35844,27124,35844
Missouri Southern State University,Missouri,MO,Public,4 Year,6865,6967,13832,13934,20799
Missouri State University,Missouri,MO,Public,4 Year,8755,7452,16207,15342,24097
Missouri University of Science and Technology,Missouri,MO,Public,4 Year,10274,10169,20443,28499,38773
Missouri Valley College,Missouri,MO,Private,4 Year,9150,20600,29750,20600,29750
Mitchell College,Connecticut,CT,Private,4 Year,13000,33200,46200,33200,46200
Molloy College,New York,NY,Private,4 Year,15032,31490,46522,31490,46522
Monmouth College,Illinois,IL,Private,4 Year,8966,37674,46640,37674,46640
Monmouth University,New Jersey,NJ,Private,4 Year,13981,38138,52119,38138,52119
Monroe College,New York,NY,For Profit,4 Year,10850,15428,26278,15428,26278
Montana Bible College,Montana,MT,Private,4 Year,3200,8120,11320,8120,11320
Montana State University,Montana,MT,Public,4 Year,10100,7421,17521,24849,34949
Montana State University: Billings,Montana,MT,Public,4 Year,7680,5930,13610,19250,26930
Montana State University: Northern,Montana,MT,Public,4 Year,6520,5956,12476,18556,25076
Montana Tech of the University of Montana,Montana,MT,Public,4 Year,9656,7411,17067,22574,32230
Montclair State University,New Jersey,NJ,Public,4 Year,15564,12790,28354,20578,36142
Montreat College,North Carolina,NC,Private,4 Year,9149,26670,35819,26670,35819
Montserrat College of Art,Massachusetts,MA,Private,4 Year,9900,33400,43300,33400,43300
Moody Bible Institute,Illinois,IL,Private,4 Year,11820,13565,25385,13565,25385
Moore College of Art and Design,Pennsylvania,PA,Private,4 Year,15564,41728,57292,41728,57292
Moravian College,Pennsylvania,PA,Private,4 Year,13378,43636,57014,43636,57014
Morehead State University,Kentucky,KY,Public,4 Year,9960,9170,19130,13646,23606
Morehouse College,Georgia,GA,Private,4 Year,13438,27574,41012,27574,41012
Morgan State University,Maryland,MD,Public,4 Year,10260,7900,18160,18167,28427
Morningside College,Iowa,IA,Private,4 Year,9610,31530,41140,31530,41140
Morris College,South Carolina,SC,Private,4 Year,6033,13886,19919,13886,19919
Mount Aloysius College,Pennsylvania,PA,Private,4 Year,10648,23110,33758,23110,33758
Mount Carmel College of Nursing,Ohio,OH,Private,4 Year,5000,13907,18907,13907,18907
Mount Holyoke College,Massachusetts,MA,Private,4 Year,14660,49998,64658,49998,64658
Mount Ida College,Massachusetts,MA,Private,4 Year,13680,35720,49400,35720,49400
Mount Marty College,South Dakota,SD,Private,4 Year,7986,27276,35262,27276,35262
Mount Mary University,Wisconsin,WI,Private,4 Year,8600,30100,38700,30100,38700
Mount Mercy University,Iowa,IA,Private,4 Year,9534,31798,41332,31798,41332
Mount Saint Mary College,New York,NY,Private,4 Year,15108,31118,46226,31118,46226
Mount Saint Mary's University,California,CA,Private,4 Year,12235,41170,53405,41170,53405
Mount St. Joseph University,Ohio,OH,Private,4 Year,9442,30100,39542,30100,39542
Mount St. Mary's University,Maryland,MD,Private,4 Year,13075,41350,54425,41350,54425
Mount Vernon Nazarene University,Ohio,OH,Private,4 Year,8170,29244,37414,29244,37414
Muhlenberg College,Pennsylvania,PA,Private,4 Year,11765,52595,64360,52595,64360
Multnomah University,Oregon,OR,Private,4 Year,8870,25900,34770,25900,34770
Murray State University,Kentucky,KY,Public,4 Year,9190,9084,18274,24540,33730
Muskingum University,Ohio,OH,Private,4 Year,11480,28516,39996,28516,39996
Naropa University,Colorado,CO,Private,4 Year,12849,31790,44639,31790,44639
Nazareth College,New York,NY,Private,4 Year,13580,34280,47860,34280,47860
Nebraska Christian College,Nebraska,NE,Private,4 Year,9020,17665,26685,17665,26685
Nebraska Methodist College of Nursing and Allied Health,Nebraska,NE,Private,4 Year,9586,18048,27634,18048,27634
Nebraska Wesleyan University,Nebraska,NE,Private,4 Year,9622,34202,43824,34202,43824
Ner Israel Rabbinical College,Maryland,MD,Private,4 Year,6600,12400,19000,12400,19000
Neumann University,Pennsylvania,PA,Private,4 Year,13020,31400,44420,31400,44420
Neumont College of Computer Science,Utah,UT,For Profit,4 Year,5970,24750,30720,24750,30720
New College of Florida,Florida,FL,Public,4 Year,9264,6919,16183,29944,39208
New England College,New Hampshire,NH,Private,4 Year,14222,37914,52136,37914,52136
New England Conservatory of Music,Massachusetts,MA,Private,4 Year,15900,48750,64650,48750,64650
New England Institute of Technology,Rhode Island,RI,Private,4 Year,13065,29940,43005,29940,43005
New Hampshire Institute of Art,New Hampshire,NH,Private,4 Year,11460,28280,39740,28280,39740
New Hope Christian College,Oregon,OR,Private,4 Year,6300,14880,21180,14880,21180
New Jersey City University,New Jersey,NJ,Public,4 Year,12738,12051,24789,21573,34311
New Jersey Institute of Technology,New Jersey,NJ,Public,4 Year,13600,17338,30938,32750,46350
New Mexico Highlands University,New Mexico,NM,Public,4 Year,7872,6150,14022,10302,18174
New Mexico Institute of Mining and Technology,New Mexico,NM,Public,4 Year,8510,7770,16280,22268,30778
New Mexico State University,New Mexico,NM,Public,4 Year,9252,7368,16620,23508,32760
New Orleans Baptist Theological Seminary,Louisiana,LA,Private,4 Year,2625,7775,10400,7775,10400
New York Institute of Technology,New York,NY,Private,4 Year,14290,36890,51180,36890,51180
New York School of Interior Design,New York,NY,Private,4 Year,21300,30834,52134,30834,52134
New York University,New York,NY,Private,4 Year,18156,51828,69984,51828,69984
Newberry College,South Carolina,SC,Private,4 Year,10666,26424,37090,26424,37090
Newbury College,Massachusetts,MA,Private,4 Year,14900,35540,50440,35540,50440
Newman University,Kansas,KS,Private,4 Year,8326,30724,39050,30724,39050
Niagara University,New York,NY,Private,4 Year,13200,33180,46380,33180,46380
Nicholls State University,Louisiana,LA,Public,4 Year,9938,7982,17920,9075,19013
Nichols College,Massachusetts,MA,Private,4 Year,13950,34800,48750,34800,48750
Norfolk State University,Virginia,VA,Public,4 Year,10360,9490,19850,21418,31778
North Carolina Agricultural and Technical State University,North Carolina,NC,Public,4 Year,7624,6612,14236,19822,27446
North Carolina Central University,North Carolina,NC,Public,4 Year,8909,6348,15257,19055,27964
North Carolina State University,North Carolina,NC,Public,4 Year,11078,9101,20179,28444,39522
North Carolina Wesleyan College,North Carolina,NC,Private,4 Year,10800,31000,41800,31000,41800
North Central College,Illinois,IL,Private,4 Year,11019,38880,49899,38880,49899
North Central University,Minnesota,MN,Private,4 Year,7400,24240,31640,24240,31640
North Dakota State University,North Dakota,ND,Public,4 Year,8565,9294,17859,13273,21838
North Greenville University,South Carolina,SC,Private,4 Year,10240,19750,29990,19750,29990
North Park University,Illinois,IL,Private,4 Year,9866,29190,39056,29190,39056
Northeastern Illinois University,Illinois,IL,Public,4 Year,11424,14022,25446,25907,37331
Northeastern State University,Oklahoma,OK,Public,4 Year,7638,6650,14288,14720,22358
Northeastern University,Massachusetts,MA,Private,4 Year,16880,51387,68267,51387,68267
Northern Arizona University,Arizona,AZ,Public,4 Year,10282,11564,21846,25828,36110
Northern Illinois University,Illinois,IL,Public,4 Year,10880,12262,23142,12262,23142
Northern Kentucky University,Kentucky,KY,Public,4 Year,10022,10032,20054,19680,29702
Northern Michigan University,Michigan,MI,Public,4 Year,10666,10988,21654,16484,27150
Northern State University,South Dakota,SD,Public,4 Year,8029,8498,16527,11471,19500
Northern Vermont University,Vermont,VT,Public,4 Year,10598,12434,23032,25754,36352
Northland College,Wisconsin,WI,Private,4 Year,9176,36183,45359,36183,45359
Northpoint Bible College,Massachusetts,MA,Private,4 Year,9500,12580,22080,12580,22080
Northwest Christian University,Oregon,OR,Private,4 Year,9300,30050,39350,30050,39350
Northwest Missouri State University,Missouri,MO,Public,4 Year,10016,9805,19821,16457,26473
Northwest Nazarene University,Idaho,ID,Private,4 Year,7400,29300,36700,29300,36700
Northwest University,Washington,WA,Private,4 Year,8630,31540,40170,31540,40170
Northwestern College,Iowa,IA,Private,4 Year,9200,31100,40300,31100,40300
Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,4780,7036,11816,14153,18933
Northwestern Polytechnic University,California,CA,Private,4 Year,6000,10700,16700,10700,16700
Northwestern State University,Louisiana,LA,Public,4 Year,8884,8580,17464,19368,28252
Northwestern University,Illinois,IL,Private,4 Year,16626,54567,71193,54567,71193
Northwood University: Michigan,Michigan,MI,Private,4 Year,10480,27060,37540,27060,37540
Norwich University,Vermont,VT,Private,4 Year,13840,40016,53856,40016,53856
Notre Dame College,Ohio,OH,Private,4 Year,9980,30160,40140,30160,40140
Notre Dame de Namur University,California,CA,Private,4 Year,14494,35350,49844,35350,49844
Notre Dame of Maryland University,Maryland,MD,Private,4 Year,11850,36900,48750,36900,48750
Nova Southeastern University,Florida,FL,Private,4 Year,13250,30900,44150,30900,44150
Nyack College,New York,NY,Private,4 Year,9450,25350,34800,25350,34800
Oak Hills Christian College,Minnesota,MN,Private,4 Year,6984,17314,24298,17314,24298
Oakland City University,Indiana,IN,Private,4 Year,9900,24000,33900,24000,33900
Oakland University,Michigan,MI,Public,4 Year,10100,12606,22706,24230,34330
Oakwood University,Alabama,AL,Private,4 Year,9312,16720,26032,16720,26032
Oberlin College,Ohio,OH,Private,4 Year,16338,55054,71392,55054,71392
Occidental College,California,CA,Private,4 Year,15496,54686,70182,54686,70182
Oglethorpe University,Georgia,GA,Private,4 Year,13200,38100,51300,38100,51300
Ohio Christian University,Ohio,OH,Private,4 Year,8076,23306,31382,23306,31382
Ohio Dominican University,Ohio,OH,Private,4 Year,10948,31080,42028,31080,42028
Ohio Northern University,Ohio,OH,Private,4 Year,11650,32260,43910,32260,43910
Ohio State University: Columbus Campus,Ohio,OH,Public,4 Year,12434,10726,23160,30742,43176
Ohio State University: Mansfield Campus,Ohio,OH,Public,4 Year,8094,7644,15738,27660,35754
Ohio State University: Newark Campus,Ohio,OH,Public,4 Year,9268,7644,16912,27660,36928
Ohio University,Ohio,OH,Public,4 Year,11830,12192,24022,21656,33486
Ohio Valley University,West Virginia,WV,Private,4 Year,7980,21900,29880,21900,29880
Ohio Wesleyan University,Ohio,OH,Private,4 Year,12430,45760,58190,45760,58190
Ohr Somayach Tanenbaum Education Center,New York,NY,Private,4 Year,9000,9000,18000,9000,18000
Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,7350,28258,35608,28258,35608
Oklahoma Christian University,Oklahoma,OK,Private,4 Year,8190,22760,30950,22760,30950
Oklahoma City University,Oklahoma,OK,Private,4 Year,8896,31026,39922,31026,39922
Oklahoma Panhandle State University,Oklahoma,OK,Public,4 Year,4695,8194,12889,9133,13828
Oklahoma State University,Oklahoma,OK,Public,4 Year,8549,9019,17568,24539,33088
Oklahoma Wesleyan University,Oklahoma,OK,Private,4 Year,8644,26956,35600,26956,35600
Old Dominion University,Virginia,VA,Public,4 Year,11620,10872,22492,29772,41392
Olivet College,Michigan,MI,Private,4 Year,9590,27700,37290,27700,37290
Olivet Nazarene University,Illinois,IL,Private,4 Year,7900,36070,43970,36070,43970
Oral Roberts University,Oklahoma,OK,Private,4 Year,9450,27728,37178,27728,37178
Oregon Institute of Technology,Oregon,OR,Public,4 Year,9058,9987,19045,28056,37114
Oregon State University,Oregon,OR,Public,4 Year,12855,11166,24021,30141,42996
Otis College of Art and Design,California,CA,Private,4 Year,15100,44580,59680,44580,59680
Ottawa University,Kansas,KS,Private,4 Year,11900,27630,39530,27630,39530
Otterbein University,Ohio,OH,Private,4 Year,11258,31874,43132,31874,43132
Ouachita Baptist University,Arkansas,AR,Private,4 Year,7880,26790,34670,26790,34670
Our Lady of the Lake University of San Antonio,Texas,TX,Private,4 Year,9602,28740,38342,28740,38342
Ozark Christian College,Missouri,MO,Private,4 Year,6160,12620,18780,12620,18780
Pace University,New York,NY,Private,4 Year,19200,45280,64480,45280,64480
Pace University: Pleasantville/Briarcliff,New York,NY,Private,4 Year,16600,45280,61880,45280,61880
Pacific Lutheran University,Washington,WA,Private,4 Year,10790,42066,52856,42066,52856
Pacific Northwest College of Art,Oregon,OR,Private,4 Year,12860,38250,51110,38250,51110
Pacific Union College,California,CA,Private,4 Year,8310,30060,38370,30060,38370
Pacific University,Oregon,OR,Private,4 Year,12528,44298,56826,44298,56826
Paine College,Georgia,GA,Private,4 Year,6662,15595,22257,15595,22257
Palm Beach Atlantic University,Florida,FL,Private,4 Year,10120,31450,41570,31450,41570
Park University,Missouri,MO,Private,4 Year,8200,12650,20850,12650,20850
Parsons The New School for Design,New York,NY,Private,4 Year,18000,49847,67847,49847,67847
Patrick Henry College,Virginia,VA,Private,4 Year,10728,27922,38650,27922,38650
Paul Quinn College,Texas,TX,Private,4 Year,6000,8495,14495,8495,14495
Paul Smith's College,New York,NY,Private,4 Year,12240,28484,40724,28484,40724
Penn State Abington,Pennsylvania,PA,Public,4 Year,8100,14524,22624,23278,31378
Penn State Altoona,Pennsylvania,PA,Public,4 Year,11570,15198,26768,24450,36020
Penn State Beaver,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456
Penn State Berks,Pennsylvania,PA,Public,4 Year,12730,15198,27928,24450,37180
Penn State Brandywine,Pennsylvania,PA,Public,4 Year,12180,14468,26648,23028,35208
"Penn State Erie, The Behrend College",Pennsylvania,PA,Public,4 Year,11570,15198,26768,24450,36020
Penn State Greater Allegheny,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456
Penn State Harrisburg,Pennsylvania,PA,Public,4 Year,13280,15198,28478,24450,37730
Penn State Hazleton,Pennsylvania,PA,Public,4 Year,11570,14468,26038,23028,34598
Penn State Mont Alto,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456
Penn State Schuylkill,Pennsylvania,PA,Public,4 Year,8618,14468,23086,23028,31646
Penn State University Park,Pennsylvania,PA,Public,4 Year,11570,18454,30024,34858,46428
Pennsylvania College of Technology,Pennsylvania,PA,Public,4 Year,11544,16740,28284,23880,35424
Pepperdine University,California,CA,Private,4 Year,15320,53932,69252,53932,69252
Peru State College,Nebraska,NE,Public,4 Year,8010,7452,15462,7482,15492
Pfeiffer University,North Carolina,NC,Private,4 Year,11226,30234,41460,30234,41460
Philander Smith College,Arkansas,AR,Private,4 Year,8250,12414,20664,12414,20664
Piedmont College,Georgia,GA,Private,4 Year,10168,25920,36088,25920,36088
Piedmont International University,North Carolina,NC,Private,4 Year,7810,10970,18780,10970,18780
Pine Manor College,Massachusetts,MA,Private,4 Year,13830,31660,45490,31660,45490
Pittsburg State University,Kansas,KS,Public,4 Year,7778,7298,15076,18642,26420
Pitzer College,California,CA,Private,4 Year,16844,54056,70900,54056,70900
Plymouth State University,New Hampshire,NH,Public,4 Year,11100,14099,25199,22769,33869
Point Loma Nazarene University,California,CA,Private,4 Year,10450,35700,46150,35700,46150
Point Park University,Pennsylvania,PA,Private,4 Year,12200,31450,43650,31450,43650
Point University,Georgia,GA,Private,4 Year,7900,20600,28500,20600,28500
Pomona College,California,CA,Private,4 Year,16716,52780,69496,52780,69496
Pontifical Catholic University of Puerto Rico,NA,PR,Private,4 Year,1374,5490,6864,5490,6864
Pontifical College Josephinum,Ohio,OH,Private,4 Year,10600,23285,33885,23285,33885
Portland State University,Oregon,OR,Public,4 Year,10428,9105,19533,27060,37488
Post University,Connecticut,CT,For Profit,4 Year,11600,31050,42650,31050,42650
Prairie View A&M University,Texas,TX,Public,4 Year,8925,10533,19458,24843,33768
Pratt Institute,New York,NY,Private,4 Year,12622,51870,64492,51870,64492
Presbyterian College,South Carolina,SC,Private,4 Year,10480,38660,49140,38660,49140
Prescott College,Arizona,AZ,Private,4 Year,7700,31485,39185,31485,39185
Presentation College,South Dakota,SD,Private,4 Year,9578,19995,29573,19995,29573
Princeton University,New Jersey,NJ,Private,4 Year,16290,49330,65620,49330,65620
Principia College,Illinois,IL,Private,4 Year,11610,29470,41080,29470,41080
Providence Christian College,California,CA,Private,4 Year,9694,29372,39066,29372,39066
Providence College,Rhode Island,RI,Private,4 Year,14700,50390,65090,50390,65090
Purdue University,Indiana,IN,Public,4 Year,10030,9992,20022,28794,38824
Purdue University Northwest,Indiana,IN,Public,4 Year,7640,7686,15326,17368,25008
Queens University of Charlotte,North Carolina,NC,Private,4 Year,10860,34684,45544,34684,45544
Quincy University,Illinois,IL,Private,4 Year,10500,28462,38962,28462,38962
Quinnipiac University,Connecticut,CT,Private,4 Year,14540,47960,62500,47960,62500
Rabbi Jacob Joseph School,New Jersey,NJ,Private,4 Year,3300,14400,17700,14400,17700
Rabbinical Academy Mesivta Rabbi Chaim Berlin,New York,NY,Private,4 Year,3000,12800,15800,12800,15800
Rabbinical College Beth Shraga,New York,NY,Private,4 Year,5700,13550,19250,13550,19250
Rabbinical College Bobover Yeshiva B'nei Zion,New York,NY,Private,4 Year,4500,7750,12250,7750,12250
Rabbinical College of America,New Jersey,NJ,Private,4 Year,7500,11500,19000,11500,19000
Rabbinical College of Long Island,New York,NY,Private,4 Year,4900,11575,16475,11575,16475
Rabbinical College of Ohr Shimon Yisroel,New York,NY,Private,4 Year,1600,13500,15100,13500,15100
Rabbinical College of Telshe,Ohio,OH,Private,4 Year,3000,10800,13800,10800,13800
Rabbinical Seminary of America,New York,NY,Private,4 Year,6000,9800,15800,9800,15800
Radford University,Virginia,VA,Public,4 Year,9406,11210,20616,22845,32251
Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,12450,14374,26824,23715,36165
Randall University,Oklahoma,OK,Private,4 Year,7704,14090,21794,14090,21794
Randolph College,Virginia,VA,Private,4 Year,13580,39585,53165,39585,53165
Randolph-Macon College,Virginia,VA,Private,4 Year,11860,41400,53260,41400,53260
Reed College,Oregon,OR,Private,4 Year,14210,56340,70550,56340,70550
Regent University,Virginia,VA,Private,4 Year,9120,18108,27228,18108,27228
Regis College,Massachusetts,MA,Private,4 Year,15180,41015,56195,41015,56195
Regis University,Colorado,CO,Private,4 Year,11560,36810,48370,36810,48370
Reinhardt University,Georgia,GA,Private,4 Year,10200,23300,33500,23300,33500
Rensselaer Polytechnic Institute,New York,NY,Private,4 Year,15260,53880,69140,53880,69140
Research College of Nursing,Missouri,MO,For Profit,4 Year,9970,37600,47570,37600,47570
Restaurant School at Walnut Hill College,Pennsylvania,PA,For Profit,4 Year,7200,13580,20780,13580,20780
Rhode Island College,Rhode Island,RI,Public,4 Year,11829,8929,20758,21692,33521
Rhode Island School of Design,Rhode Island,RI,Private,4 Year,13400,50960,64360,50960,64360
Rhodes College,Tennessee,TN,Private,4 Year,11403,47890,59293,47890,59293
Rice University,Texas,TX,Private,4 Year,14000,47350,61350,47350,61350
Rider University,New Jersey,NJ,Private,4 Year,14700,41310,56010,41310,56010
Ringling College of Art and Design,Florida,FL,Private,4 Year,15070,46420,61490,46420,61490
Ripon College,Wisconsin,WI,Private,4 Year,8400,43808,52208,43808,52208
Rivier University,New Hampshire,NH,Private,4 Year,12526,31790,44316,31790,44316
Roanoke College,Virginia,VA,Private,4 Year,13690,44030,57720,44030,57720
Robert Morris University,Pennsylvania,PA,Private,4 Year,11400,30300,41700,30300,41700
Roberts Wesleyan College,New York,NY,Private,4 Year,10628,31818,42446,31818,42446
Rochester College,Michigan,MI,Private,4 Year,7376,24218,31594,24218,31594
Rochester Institute of Technology,New York,NY,Private,4 Year,13046,44130,57176,44130,57176
Rockford University,Illinois,IL,Private,4 Year,8660,30930,39590,30930,39590
Rockhurst University,Missouri,MO,Private,4 Year,10200,37590,47790,37590,47790
Rocky Mountain College,Montana,MT,Private,4 Year,8330,28512,36842,28512,36842
Roger Williams University,Rhode Island,RI,Private,4 Year,15890,34522,50412,34522,50412
Rogers State University,Oklahoma,OK,Public,4 Year,8616,6870,15486,15210,23826
Rollins College,Florida,FL,Private,4 Year,14735,49760,64495,49760,64495
Roosevelt University,Illinois,IL,Private,4 Year,13223,29832,43055,29832,43055
Rose-Hulman Institute of Technology,Indiana,IN,Private,4 Year,14766,49871,64637,49871,64637
Rosemont College,Pennsylvania,PA,Private,4 Year,12438,19900,32338,19900,32338
Rowan University,New Jersey,NJ,Public,4 Year,12552,13697,26249,22339,34891
Rust College,Mississippi,MS,Private,4 Year,4300,9900,14200,9900,14200
Rutgers University,New Jersey,NJ,Public,4 Year,12706,14974,27680,31282,43988
"Rutgers, The State University of New Jersey: Camden Campus",New Jersey,NJ,Public,4 Year,12336,14835,27171,30613,42949
"Rutgers, The State University of New Jersey: Newark Campus",New Jersey,NJ,Public,4 Year,13536,14409,27945,30717,44253
Sacred Heart Major Seminary,Michigan,MI,Private,4 Year,10675,19840,30515,19840,30515
Sacred Heart University,Connecticut,CT,Private,4 Year,15310,41420,56730,41420,56730
Saginaw Valley State University,Michigan,MI,Public,4 Year,10186,10308,20494,24215,34401
Saint Anselm College,New Hampshire,NH,Private,4 Year,14500,41200,55700,41200,55700
Saint Augustine's University,North Carolina,NC,Private,4 Year,7692,17890,25582,17890,25582
Saint Bonaventure University,New York,NY,Private,4 Year,13055,34301,47356,34301,47356
Saint Cloud State University,Minnesota,MN,Public,4 Year,8900,8912,17812,17146,26046
Saint Joseph's College,Indiana,IN,Private,4 Year,13280,34880,48160,34880,48160
Saint Joseph's College of Maine,Maine,ME,Private,4 Year,13680,35650,49330,35650,49330
Saint Joseph's University,Pennsylvania,PA,Private,4 Year,14840,44973,59813,44973,59813
Saint Leo University,Florida,FL,Private,4 Year,10570,22280,32850,22280,32850
Saint Louis University,Missouri,MO,Private,4 Year,12290,43884,56174,43884,56174
Saint Martin's University,Washington,WA,Private,4 Year,11445,37356,48801,37356,48801
Saint Mary's College,Indiana,IN,Private,4 Year,12580,42220,54800,42220,54800
Saint Mary's College of California,California,CA,Private,4 Year,15370,47280,62650,47280,62650
Saint Michael's College,Vermont,VT,Private,4 Year,12220,45375,57595,45375,57595
Saint Peter's University,New Jersey,NJ,Private,4 Year,15414,37486,52900,37486,52900
Saint Thomas University,Florida,FL,Private,4 Year,11700,33222,44922,33222,44922
Saint Xavier University,Illinois,IL,Private,4 Year,11340,33880,45220,33880,45220
Salem College,North Carolina,NC,Private,4 Year,11850,29416,41266,29416,41266
Salem International University,West Virginia,WV,For Profit,4 Year,7480,12920,20400,12920,20400
Salem State University,Massachusetts,MA,Public,4 Year,12722,10884,23606,17024,29746
Salisbury University,Maryland,MD,Public,4 Year,11950,9824,21774,19526,31476
Salve Regina University,Rhode Island,RI,Private,4 Year,14500,40550,55050,40550,55050
Sam Houston State University,Texas,TX,Public,4 Year,9386,10183,19569,22633,32019
Samford University,Alabama,AL,Private,4 Year,10550,31650,42200,31650,42200
San Diego Christian College,California,CA,Private,4 Year,11640,31404,43044,31404,43044
San Diego State University,California,CA,Public,4 Year,16735,7488,24223,19368,36103
San Francisco Art Institute,California,CA,Private,4 Year,15709,46534,62243,46534,62243
